iter	Passed	Remaining
0	150	150047
1	151	75528
2	153	50987
3	154	38513
4	155	30980
5	156	25955
6	157	22373
7	158	19686
8	159	17588
9	160	15919
10	161	14557
11	163	13439
12	164	12468
13	165	11634
14	166	10913
15	168	10340
16	169	9791
17	170	9302
18	171	8856
19	172	8457
20	173	8096
21	174	7772
22	176	7477
23	177	7200
24	178	6945
25	179	6708
26	180	6495
27	181	6303
28	183	6138
29	184	5972
30	185	5812
31	187	5661
32	188	5518
33	189	5385
34	190	5258
35	192	5144
36	193	5033
37	194	4932
38	197	4874
39	199	4784
40	200	4695
41	201	4605
42	203	4526
43	204	4453
44	206	4376
45	207	4297
46	208	4219
47	209	4146
48	212	4116
49	213	4062
50	215	4014
51	217	3957
52	218	3906
53	219	3851
54	220	3797
55	222	3743
56	223	3693
57	224	3649
58	226	3615
59	228	3584
60	230	3544
61	231	3503
62	232	3463
63	234	3424
64	235	3385
65	236	3350
66	238	3318
67	239	3288
68	242	3275
69	244	3246
70	245	3213
71	247	3184
72	248	3157
73	250	3129
74	251	3100
75	252	3072
76	255	3059
77	257	3043
78	259	3020
79	260	2996
80	261	2970
81	263	2945
82	263	2914
83	265	2891
84	266	2869
85	267	2846
86	270	2841
87	272	2824
88	274	2809
89	275	2788
90	277	2768
91	278	2753
92	280	2739
93	283	2733
94	286	2728
95	288	2716
96	290	2700
97	292	2695
98	294	2679
99	296	2668
100	300	2671
101	302	2661
102	305	2658
103	306	2641
104	308	2626
105	309	2611
106	311	2599
107	315	2605
108	319	2615
109	322	2606
110	324	2600
111	326	2589
112	328	2581
113	331	2573
114	333	2566
115	335	2557
116	336	2542
117	338	2529
118	339	2516
119	341	2503
120	343	2496
121	346	2493
122	348	2486
123	350	2478
124	352	2467
125	354	2458
126	355	2444
127	360	2454
128	363	2452
129	365	2442
130	366	2434
131	368	2421
132	369	2409
133	371	2400
134	375	2404
135	376	2392
136	378	2382
137	380	2374
138	381	2362
139	382	2350
140	384	2340
141	385	2329
142	386	2317
143	391	2324
144	392	2315
145	394	2305
146	395	2295
147	396	2284
148	398	2276
149	399	2265
150	400	2254
151	402	2246
152	404	2240
153	405	2230
154	407	2220
155	408	2210
156	410	2201
157	411	2192
158	412	2182
159	413	2172
160	414	2159
161	415	2149
162	417	2142
163	419	2136
164	420	2128
165	422	2120
166	423	2111
167	424	2101
168	425	2092
169	426	2082
170	427	2074
171	428	2064
172	430	2055
173	432	2051
174	434	2046
175	435	2039
176	436	2031
177	438	2023
178	439	2015
